"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd"
"002371","2020-01-03","93.200","94.500","90.200","92.700","8892033"
"002371","2020-01-06","91.210","93.490","90.350","90.850","9526704"
"002371","2020-01-07","90.000","91.910","90.000","91.320","6799006"
"002371","2020-01-08","91.000","91.000","88.130","89.110","7857547"
"002371","2020-01-09","90.050","90.990","88.560","90.740","7684366"
"002371","2020-01-10","91.000","94.660","90.000","91.000","12101036"
"002371","2020-01-13","91.000","100.100","91.000","100.100","13550754"
"002371","2020-01-14","105.150","108.880","102.630","107.150","19851436"
"002371","2020-01-15","106.220","108.800","104.500","108.000","12333780"
"002371","2020-01-16","109.740","117.710","109.000","113.000","16838886"
"002371","2020-01-17","113.780","114.990","110.390","113.000","11643311"
"002371","2020-01-20","112.260","121.090","112.260","117.980","12924222"
"002371","2020-01-21","116.190","119.600","114.830","117.400","8513229"
"002371","2020-01-22","117.400","127.000","111.940","127.000","12057487"
"002371","2020-01-23","123.320","129.300","114.300","118.500","15981999"
"002371","2020-02-03","106.650","110.500","106.650","106.650","13677649"
"002371","2020-02-04","108.500","117.320","108.500","117.320","11377512"
"002371","2020-02-05","118.510","129.050","118.510","124.620","17199237"
"002371","2020-02-06","123.210","137.080","122.000","137.080","15238940"
"002371","2020-02-07","137.470","146.500","133.000","144.960","13103349"
"002371","2020-02-10","141.000","144.920","136.390","140.080","11888695"
"002371","2020-02-11","138.570","143.600","138.570","141.300","9333734"
"002371","2020-02-12","140.280","143.500","137.400","142.350","11038890"
"002371","2020-02-13","142.350","153.800","140.700","145.290","14366074"
"002371","2020-02-14","142.580","151.500","140.200","141.410","11465513"
"002371","2020-02-17","143.250","147.440","141.600","146.400","8771578"
"002371","2020-02-18","147.500","156.980","146.510","154.010","11572497"
"002371","2020-02-19","152.000","160.200","148.920","155.160","11775255"
"002371","2020-02-20","153.800","158.770","146.530","154.890","13863005"
"002371","2020-02-21","151.250","154.990","151.010","153.000","11160370"
"002371","2020-02-24","152.200","168.300","151.530","168.300","16798801"
"002371","2020-02-25","167.500","180.150","158.000","174.700","16703253"
"002371","2020-02-26","170.000","173.500","157.230","157.230","15802590"
"002371","2020-02-27","160.000","168.180","158.540","162.600","18844946"
"002371","2020-02-28","150.000","158.590","146.340","148.010","18665087"
"002371","2020-03-02","152.020","154.360","138.010","142.200","20373812"
"002371","2020-03-03","146.160","150.000","139.510","141.490","17638646"
"002371","2020-03-04","138.360","139.900","127.550","131.720","21306271"
"002371","2020-03-05","134.000","137.000","129.530","136.990","17006605"
"002371","2020-03-06","134.030","138.500","132.000","133.720","10481634"
"002371","2020-03-09","131.160","131.550","120.650","121.850","17123427"
"002371","2020-03-10","125.000","133.930","125.000","133.230","19431653"
"002371","2020-03-11","133.700","134.000","124.600","124.640","17244593"
"002371","2020-03-12","121.190","127.980","121.190","126.000","13077786"
"002371","2020-03-13","120.540","136.050","120.540","133.400","20519855"
"002371","2020-03-16","133.550","138.880","126.890","130.330","19859846"
"002371","2020-03-17","134.500","138.000","125.520","137.150","16261395"
"002371","2020-03-18","138.880","141.860","133.000","134.490","15275588"
"002371","2020-03-19","136.960","144.700","133.730","143.000","14580404"
"002371","2020-03-20","145.000","148.700","141.810","144.010","14316812"
"002371","2020-03-23","137.500","141.850","129.610","129.610","12979217"
"002371","2020-03-24","132.980","133.260","117.000","125.300","17633203"
"002371","2020-03-25","128.000","131.450","125.460","127.250","11262441"
"002371","2020-03-26","125.000","129.000","122.220","123.820","8833547"
"002371","2020-03-27","126.050","128.500","122.610","123.810","7393317"
"002371","2020-03-30","121.810","122.000","113.580","117.100","11586976"
"002371","2020-03-31","119.180","121.300","115.710","116.300","7427925"
"002371","2020-04-01","115.400","120.170","115.100","116.240","7612266"
"002371","2020-04-02","115.420","127.800","115.420","127.090","14748742"
"002371","2020-04-03","125.100","127.000","123.770","124.600","8544587"
"002371","2020-04-07","130.810","131.480","126.500","126.650","8866191"
"002371","2020-04-08","125.990","129.660","125.300","126.180","6690300"
"002371","2020-04-09","127.780","127.880","123.000","125.660","5950980"
"002371","2020-04-10","124.740","125.650","116.050","117.000","9080399"
"002371","2020-04-13","116.050","118.140","112.330","114.190","6077260"
"002371","2020-04-14","116.000","120.510","114.190","120.140","7479820"
"002371","2020-04-15","121.770","125.890","119.800","122.180","10324688"
"002371","2020-04-16","120.150","126.200","118.960","125.250","8001015"
"002371","2020-04-17","130.500","137.780","130.100","136.710","17996466"
"002371","2020-04-20","135.000","138.250","133.230","137.990","9099754"
"002371","2020-04-21","136.400","139.330","132.380","135.850","8207759"
"002371","2020-04-22","134.420","139.510","132.430","139.220","8343627"
"002371","2020-04-23","139.100","139.790","133.000","133.480","7908090"
"002371","2020-04-24","133.180","136.500","130.460","132.000","5850739"
"002371","2020-04-27","134.500","135.790","130.100","133.600","6294536"
"002371","2020-04-28","133.610","144.950","132.150","141.930","12097193"
"002371","2020-04-29","140.980","143.310","139.230","142.300","5768837"
"002371","2020-04-30","144.860","156.160","143.310","152.170","11563431"
"002371","2020-05-06","154.000","163.360","154.000","161.010","11463923"
"002371","2020-05-07","161.010","164.360","157.000","158.260","7555546"
"002371","2020-05-08","159.860","164.490","154.560","156.150","10147420"
"002371","2020-05-11","156.210","158.660","151.200","152.530","8470348"
"002371","2020-05-12","154.110","155.200","148.660","154.150","9829039"
"002371","2020-05-13","158.000","165.000","155.220","158.800","15295664"
"002371","2020-05-14","158.000","162.000","155.770","155.870","9473762"
"002371","2020-05-15","155.870","165.270","154.510","161.990","12958830"
"002371","2020-05-18","170.460","178.000","160.000","167.080","20849874"
"002371","2020-05-19","168.430","183.790","163.900","183.790","19532268"
"002371","2020-05-20","179.000","183.180","171.070","174.200","16426981"
"002371","2020-05-21","173.420","173.890","156.960","160.940","17845333"
"002371","2020-05-22","158.510","161.210","151.700","157.250","13733372"
"002371","2020-05-25","157.620","158.750","152.510","153.900","8409287"
"002371","2020-05-26","155.580","162.100","155.440","160.280","11466438"
"002371","2020-05-27","158.500","167.370","158.010","161.670","11682630"
"002371","2020-05-28","161.790","161.790","146.600","150.720","16201654"
"002371","2020-05-29","148.000","154.290","147.150","152.000","9559645"
"002371","2020-06-01","155.000","160.750","153.090","157.250","11246343"
"002371","2020-06-02","159.990","161.010","156.000","158.150","10357435"
"002371","2020-06-03","158.590","160.880","155.200","156.430","8880207"
"002371","2020-06-04","156.430","158.000","151.500","152.370","7358316"
"002371","2020-06-05","153.060","156.500","152.800","154.130","6595675"
"002371","2020-06-08","156.210","159.570","154.660","155.040","6909711"
"002371","2020-06-09","153.580","158.300","151.090","157.330","6912020"
"002371","2020-06-10","156.000","156.470","152.150","155.770","6780638"
"002371","2020-06-11","157.190","162.580","156.000","157.000","11702878"
"002371","2020-06-12","152.000","154.600","150.030","150.210","13947768"
"002371","2020-06-15","147.900","148.240","142.900","142.920","11452656"
"002371","2020-06-16","145.200","149.280","145.010","149.200","8554017"
"002371","2020-06-17","149.500","150.280","147.000","149.460","4975011"
"002371","2020-06-18","149.680","152.880","146.510","152.160","7685091"
"002371","2020-06-19","154.000","158.890","150.320","156.010","8510127"
"002371","2020-06-22","159.500","169.500","159.200","168.330","13242984"
"002371","2020-06-23","166.590","168.810","163.000","167.860","10076912"
"002371","2020-06-24","169.290","173.840","167.500","169.040","9174586"
"002371","2020-06-29","168.000","171.580","165.000","166.240","7282112"
"002371","2020-06-30","170.000","172.920","168.380","170.910","6846119"
"002371","2020-07-01","171.380","178.580","169.000","173.750","9177580"
"002371","2020-07-02","173.650","178.000","170.000","171.300","8956670"
"002371","2020-07-03","170.300","185.150","170.300","180.160","12817998"
"002371","2020-07-06","181.880","198.180","181.000","198.180","14433845"
"002371","2020-07-07","205.990","218.000","200.100","202.830","15021968"
"002371","2020-07-08","204.100","214.780","201.900","211.980","11299054"
"002371","2020-07-09","206.950","219.890","205.630","212.000","11370851"
"002371","2020-07-10","211.000","226.300","208.880","221.300","11782847"
"002371","2020-07-13","217.280","225.000","212.500","224.510","14336896"
"002371","2020-07-14","214.000","218.800","207.000","214.060","16984437"
